doc_id	split	source_file	text_preview	source_url	source_title	doi	licence_evidence	source_text_decision	notes
133	test	0text133.txt	Apathy is one of the most frequent, disabling and difficult to treat non-motor symptoms manifesting in many neurodegenerative diseases, particularly in Parkinson disease and Huntington disease. Aim is to evaluate and compare the clinical profile of apathy in p	https://ymj.mednauka.com/files/YMJ-2020-2%20en.pdf					
229	test	0text229.txt	Neurodegenerative diseases (NDDs) such as amyotrophic lateral sclerosis (ALS), Huntington's disease (HD), and Parkinson's disease (PD) can manifest themselves anatomically by degeneration in the brain as well as motor symptoms. The motor symptoms can affect wa	https://pubmed.ncbi.nlm.nih.gov/40531650/					
556	train	0text556.txt	Proteins that misfold may accumulate and cause disorders like Alzheimer's and Parkinson's. New medicines are also explored to forecast and even cure these illnesses' severe symptoms. Because they were misfolded during creation or maintenance, rogue proteins ma	https://raco.cat/index.php/AJHS/article/view/980000001718/543627					
1002	train	0text1002.txt	Gabrielli et al. show that microglial extracellular vesicles carrying amyloid-beta (A beta-EVs) move along axons and propagate synaptic dysfunction in the mouse brain in vitro. However, inhibiting A beta-EV motion restricts the spread of synaptic dysfunction, 	https://pmc.ncbi.nlm.nih.gov/articles/PMC9420022/					
1028	train	0text1028.txt	Background Previous research has revealed that KIBRA controls secretion of extracellular vesicles (EVs) by inhibiting the proteasomal degradation of Rab27a and EVs play an important role in amyloid beta (A beta) metabolism and transmission during Alzheimer's d	https://pubmed.ncbi.nlm.nih.gov/35367771/					
1031	val	0text1031.txt	Introduction: In brain, extracellular vesicles (EVs) play an essential role in the neuron-glia interface and ensure the crosstalk between the brain and the periphery. Some studies now link the pathway dysfunction of the EVs to apolipoprotein E gene variant (AP	https://pubmed.ncbi.nlm.nih.gov/33537405/					
1040	train	0text1040.txt	A beta metabolism in the brain is mediated by endocytosis, one part of the intracellular membrane trafficking system. We previously showed that aging attenuates the interaction of dynein with dynactin, which disrupts the endosomal/lysosomal trafficking pathway	https://pubmed.ncbi.nlm.nih.gov/34329965/					
1110	train	0text1110.txt	Introduction Intellectual disability, accelerated aging, and early-onset Alzheimer-like neurodegeneration are key brain pathological features of Down syndrome (DS). Although growing research aims at the identification of molecular pathways underlying the aging	https://pubmed.ncbi.nlm.nih.gov/34812584/					
1138	train	0text1138.txt	Background and Objectives Variants of the apolipoprotein E (APOE) gene are the greatest known risk factors for sporadic Alzheimer disease (AD). Three major APOE isoform alleles, epsilon 2, epsilon 3, and epsilon 4, encode and produce proteins that differ by on	https://pubmed.ncbi.nlm.nih.gov/36405397/					
1151	train	0text1151.txt	Background Ketone bodies have been proposed as an energy rescue for the Alzheimer's disease (AD) brain, which underutilizes glucose. Prior research has shown that oral ketone monoester (KME) safely induces robust ketosis in humans and has demonstrated cognitiv	https://pubmed.ncbi.nlm.nih.gov/35098974/					
1242	train	0text1242.txt	The inflammatory cytokine interleukin (IL)-1 beta has been implicated in demyelinating diseases, such as multiple sclerosis and experimental autoimmune encephalomyelitis, and brain degenerative diseases, such as Alzheimer's disease. However, the cellular and m	https://pubmed.ncbi.nlm.nih.gov/32582975/					
1306	train	0text1306.txt	BackgroundPeptidylarginine deiminase 2 (PAD2) mediates the post-translational conversion of arginine residues in proteins to citrullines and is highly expressed in the central nervous system (CNS). Dysregulated PAD2 activity has been implicated in the pathogen	https://pubmed.ncbi.nlm.nih.gov/35734473/					
1384	train	0text1384.txt	In Alzheimer's disease, amyloid plaque formation is associated with the focal death of oligodendrocytes and soluble amyloid beta impairs the survival of oligodendrocytes in vitro. However, the response of oligodendrocyte progenitor cells (OPCs) to early amyloi	https://onlinelibrary.wiley.com/doi/full/10.1002/jnr.24672					
1413	train	0text1413.txt	Background:Resourceful endpoints of axonal loss are needed to predict the course of multiple sclerosis (MS). Corneal confocal microscopy (CCM) can detect axonal loss in patients with clinically isolated syndrome and established MS, which relates to neurologica	https://pubmed.ncbi.nlm.nih.gov/36776530/					
1431	train	0text1431.txt	Background Juvenile-onset Huntington's disease (JOHD) is a rare and particularly devastating form of Huntington's disease (HD) for which clinical diagnosis is challenging and robust outcome measures are lacking. Neurofilament light protein (NfL) in plasma has 	https://pubmed.ncbi.nlm.nih.gov/35437792/					
1437	train	0text1437.txt	Introduction Synaptic dysfunction and degeneration is one of the earliest events in Alzheimer's disease (AD) and the best correlate of cognitive decline. Thus, identification and validation of biomarkers reflecting synaptic degeneration to be used as prognosti	https://pubmed.ncbi.nlm.nih.gov/33969172/					
1464	train	0text1464.txt	IntroductionWe examined longitudinal cerebrospinal fluid (CSF) Alzheimer's disease (AD) biomarker changes among cognitively normal individuals with 10.7 years follow-up, on average. MethodsAnalyses included 278 participants (M age = 57.5 years); 94 have progre	https://www.omicsdi.org/dataset/biostudies-literature/S-EPMC10548686					
1467	train	0text1467.txt	IntroductionDespite increasing evidence of a role of rare genetic variation in the risk of Alzheimer's disease (AD), limited attention has been paid to its contribution to AD-related biomarker traits indicative of AD-relevant pathophysiological processes. Meth	https://pubmed.ncbi.nlm.nih.gov/36464806/					
1472	train	0text1472.txt	IntroductionAlthough many lesion-based MRI biomarkers in multiple sclerosis (MS) patients were investigated, none of the previous studies dealt with the signal intensity variations (SIVs) of MS lesions. In this study, the SIVs of MS lesions on direct myelin im	https://pubmed.ncbi.nlm.nih.gov/36992852/					
1561	train	0text1561.txt	Background: Aberrant amyloid-beta (A beta) deposition in the brain occurs two decades prior to the manifestation of Alzheimer's disease (AD) clinical symptoms and therefore brain A beta load measured using PET serves as a gold standard biomarker for the early 	https://pubmed.ncbi.nlm.nih.gov/31424403/					
1584	train	0text1584.txt	Background A reduced amyloid-beta (A beta)42/40 peptide ratio in blood plasma represents a peripheral biomarker of the cerebral amyloid pathology observed in Alzheimer's disease brains. The magnitude of the measurable effect in plasma is smaller than in cerebr	https://pubmed.ncbi.nlm.nih.gov/36461122/					
